period,hnt_burned,hnt_issued,s2r_burns_only
2023-04-30 00:00:00+00:00,10534.325023,145952073.77393538,0.0001
2023-05-31 00:00:00+00:00,37203.976377720006,2877910.7287665,0.0129
2023-06-30 00:00:00+00:00,71870.07407308002,2311991.7069297,0.0311
2023-07-31 00:00:00+00:00,72053.93550401,2709349.62225834,0.0266
2023-08-31 00:00:00+00:00,55059.95693993001,1172848.37284255,0.0469
2023-09-30 00:00:00+00:00,138659.61773966998,1170114.90582548,0.1185
2023-10-31 00:00:00+00:00,91159.69196911002,1457589.42145787,0.0625
2023-11-30 00:00:00+00:00,28255.12133921001,1169064.3166243602,0.0242
2023-12-31 00:00:00+00:00,39470.21949226,1174176.9427070701,0.0336
2024-01-31 00:00:00+00:00,75591.64508131999,1458899.04534835,0.0518
2024-02-29 00:00:00+00:00,39884.53892558999,1176518.4879665999,0.0339
2024-03-31 00:00:00+00:00,38746.98740138998,1168652.35297317,0.0332
2024-04-30 00:00:00+00:00,46282.87552218999,1456479.68079263,0.0318
2024-05-31 00:00:00+00:00,43621.289081990006,1166944.56225543,0.0374
2024-06-30 00:00:00+00:00,28152.09118884999,1162966.4278670298,0.0242
2024-07-31 00:00:00+00:00,59588.71443433004,1447673.66048698,0.0412
2024-08-31 00:00:00+00:00,7798.537059320004,1158532.3802128602,0.0067
2024-09-30 00:00:00+00:00,52544.07411230998,1453050.29700071,0.0362
2024-10-31 00:00:00+00:00,26187.76823404998,1176221.3200046,0.0223
2024-11-30 00:00:00+00:00,159517.36916893988,1163405.9733866001,0.1371
2024-12-31 00:00:00+00:00,12491.574637070002,3115643.86177506,0.004
2025-01-31 00:00:00+00:00,9519.84532534999,1491692.52254846,0.0064
2025-02-28 00:00:00+00:00,149134.42552896996,1504867.85874772,0.0991
2025-03-31 00:00:00+00:00,200362.27616959994,1876521.8341112603,0.1068
2025-04-30 00:00:00+00:00,14623.805918370002,1497415.63003024,0.0098
2025-05-31 00:00:00+00:00,36801.70678974994,1500394.67756638,0.0245
2025-06-30 00:00:00+00:00,708896.5833679195,1883509.26410923,0.3764
2025-07-31 00:00:00+00:00,107932.08377053001,1464385.69567752,0.0737
2025-08-31 00:00:00+00:00,532886.12717089,613509.73193233,0.8686
2025-09-30 00:00:00+00:00,456180.58448052016,776712.3287665,0.5873
2025-10-31 00:00:00+00:00,975288.0335729893,621369.8630132,1.5696
2025-11-30 00:00:00+00:00,545145.0401986805,621369.8630132,0.8773
2025-12-31 00:00:00+00:00,1205193.1228729698,776712.3287665,1.5517
2026-01-31 00:00:00+00:00,685183.45800417,621369.8630132,1.1027
2026-02-28 00:00:00+00:00,777042.2810043195,377260.2739723,2.0597
